Frequency,DB(MAG(V(Output))),PHDEG(V(Output)),PHDEG_corrected(V(Output))
40,1.636131307,-171.5503992,8.449600823
40.09220952,1.644272556,-171.5338597,8.466140324
40.18463161,1.652457506,-171.5173062,8.482693774
40.27726675,1.660686428,-171.500739,8.499260983
40.37011544,1.668959592,-171.4841582,8.515841759
40.46317817,1.677277272,-171.4675641,8.532435905
40.55645543,1.685639741,-171.4509568,8.549043225
40.64994771,1.694047279,-171.4343365,8.565663515
40.74365552,1.702500163,-171.4177034,8.582296574
40.83757935,1.710998675,-171.4010578,8.598942192
40.93171969,1.7195431,-171.3843998,8.615600161
41.02607705,1.728133722,-171.3677297,8.632270266
41.12065193,1.73677083,-171.3510477,8.648952291
41.21544482,1.745454714,-171.334354,8.665646018
41.31045623,1.754185667,-171.3176488,8.682351222
41.40568667,1.762963982,-171.3009323,8.699067679
41.50113663,1.771789958,-171.2842048,8.715795158
41.59680663,1.780663893,-171.2674666,8.732533428
41.69269718,1.789586089,-171.2507177,8.749282252
41.78880877,1.798556851,-171.2339586,8.766041391
41.88514192,1.807576484,-171.2171894,8.782810601
41.98169715,1.816645297,-171.2004104,8.799589638
42.07847495,1.825763602,-171.1836218,8.81637825
42.17547586,1.834931713,-171.1668238,8.833176184
42.27270037,1.844149945,-171.1500168,8.849983184
42.37014901,1.853418617,-171.133201,8.866798987
42.46782229,1.86273805,-171.1163767,8.88362333
42.56572073,1.872108569,-171.0995441,8.900455944
42.66384485,1.881530499,-171.0827034,8.917296557
42.76219517,1.89100417,-171.0658551,8.934144892
42.86077221,1.900529913,-171.0489993,8.95100067
42.95957649,1.910108062,-171.0321364,8.967863606
43.05860855,1.919738955,-171.0152666,8.984733411
43.15786889,1.92942293,-170.9983902,9.001609794
43.25735805,1.939160332,-170.9815075,9.018492458
43.35707656,1.948951504,-170.9646189,9.035381102
43.45702494,1.958796794,-170.9477246,9.052275421
43.55720373,1.968696555,-170.9308249,9.069175106
43.65761346,1.978651138,-170.9139202,9.086079842
43.75825465,1.988660902,-170.8970107,9.102989311
43.85912785,1.998726205,-170.8800968,9.11990319
43.96023358,2.00884741,-170.8631788,9.136821151
44.06157238,2.019024883,-170.8462571,9.153742863
44.1631448,2.029258992,-170.829332,9.170667988
44.26495136,2.039550108,-170.8124038,9.187596185
44.36699261,2.049898607,-170.7954729,9.204527106
44.46926909,2.060304866,-170.7785396,9.221460401
44.57178134,2.070769266,-170.7616043,9.238395712
44.67452991,2.081292191,-170.7446673,9.255332678
44.77751534,2.091874029,-170.7277291,9.272270931
44.88073817,2.10251517,-170.7107899,9.2892101
44.98419896,2.113216008,-170.6938502,9.306149808
45.08789825,2.123976941,-170.6769103,9.32308967
45.19183659,2.134798368,-170.6599707,9.3400293
45.29601453,2.145680694,-170.6430317,9.356968303
45.40043263,2.156624327,-170.6260937,9.37390628
45.50509143,2.167629678,-170.6091572,9.390842825
45.6099915,2.17869716,-170.5922225,9.407777527
45.71513339,2.189827192,-170.57529,9.42470997
45.82051766,2.201020196,-170.5583603,9.441639731
45.92614486,2.212276596,-170.5414336,9.458566381
46.03201556,2.223596823,-170.5245105,9.475489484
46.13813031,2.234981308,-170.5075914,9.4924086
46.24448969,2.246430487,-170.4906767,9.509323282
46.35109425,2.257944802,-170.4737669,9.526233074
46.45794455,2.269524696,-170.4568625,9.543137516
46.56504118,2.281170617,-170.4399639,9.560036142
46.67238468,2.292883018,-170.4230715,9.576928478
46.77997564,2.304662353,-170.406186,9.593814043
46.88781462,2.316509083,-170.3893077,9.610692349
46.9959022,2.328423673,-170.3724371,9.627562902
47.10423894,2.34040659,-170.3555748,9.6444252
47.21282543,2.352458306,-170.3387213,9.661278735
47.32166223,2.364579298,-170.321877,9.678122989
47.43074993,2.376770047,-170.3050426,9.69495744
47.5400891,2.389031038,-170.2882184,9.711781556
47.64968032,2.401362761,-170.2714052,9.728594799
47.75952418,2.413765709,-170.2546034,9.74539662
47.86962125,2.426240381,-170.2378135,9.762186467
47.97997213,2.438787279,-170.2210362,9.778963776
48.09057738,2.451406913,-170.204272,9.795727976
48.20143761,2.464099792,-170.1875215,9.812478489
48.3125534,2.476866435,-170.1707853,9.829214726
48.42392534,2.489707363,-170.1540639,9.845936091
48.53555402,2.502623102,-170.137358,9.862641981
48.64744003,2.515614184,-170.1206682,9.87933178
48.75958396,2.528681145,-170.1039951,9.896004868
48.87198641,2.541824526,-170.0873394,9.912660611
48.98464797,2.555044873,-170.0707016,9.929298369
49.09756925,2.568342737,-170.0540825,9.945917491
49.21075083,2.581718676,-170.0374827,9.962517319
49.32419333,2.595173251,-170.0209028,9.979097182
49.43789734,2.608707029,-170.0043436,9.995656401
49.55186346,2.622320582,-169.9878057,10.01219429
49.6660923,2.636014489,-169.9712899,10.02871014
49.78058447,2.649789332,-169.9547968,10.04520325
49.89534057,2.6636457,-169.9383271,10.06167289
50.01036121,2.677584189,-169.9218817,10.07811835
50.125647,2.691605398,-169.9054611,10.09453886
50.24119855,2.705709933,-169.8890663,10.11093369
50.35701647,2.719898407,-169.8726979,10.12730206
50.47310138,2.734171437,-169.8563568,10.1436432
50.5894539,2.748529647,-169.8400437,10.15995633
50.70607463,2.762973666,-169.8237594,10.17624064
50.82296421,2.777504132,-169.8075047,10.19249533
50.94012324,2.792121686,-169.7912804,10.20871957
51.05755235,2.806826978,-169.7750875,10.22491252
51.17525217,2.821620661,-169.7589267,10.24107334
51.29322331,2.836503398,-169.7427988,10.25720117
51.4114664,2.851475857,-169.7267049,10.27329513
51.52998207,2.866538712,-169.7106457,10.28935434
51.64877094,2.881692645,-169.6946221,10.3053779
51.76783366,2.896938345,-169.6786351,10.32136488
51.88717084,2.912276506,-169.6626856,10.33731438
52.00678312,2.927707832,-169.6467746,10.35322543
52.12667114,2.943233031,-169.6309029,10.36909709
52.24683553,2.95885282,-169.6150716,10.38492838
52.36727692,2.974567923,-169.5992817,10.40071832
52.48799596,2.990379071,-169.5835341,10.41646591
52.60899329,3.006287004,-169.5678299,10.43217012
52.73026954,3.022292467,-169.5521701,10.44782994
52.85182537,3.038396215,-169.5365557,10.46344431
52.97366141,3.05459901,-169.5209878,10.47901216
53.09577831,3.070901622,-169.5054676,10.49453241
53.21817672,3.087304828,-169.489996,10.51000397
53.34085729,3.103809414,-169.4745743,10.52542573
53.46382066,3.120416176,-169.4592035,10.54079654
53.5870675,3.137125915,-169.4438847,10.55611526
53.71059845,3.153939443,-169.4286193,10.57138072
53.83441416,3.17085758,-169.4134083,10.58659174
53.9585153,3.187881153,-169.3982529,10.60174711
54.08290253,3.205011001,-169.3831544,10.6168456
54.20757649,3.22224797,-169.368114,10.63188597
54.33253786,3.239592915,-169.353133,10.64686696
54.4577873,3.2570467,-169.3382127,10.66178728
54.58332546,3.274610201,-169.3233544,10.67664563
54.70915302,3.292284299,-169.3085593,10.69144069
54.83527065,3.310069889,-169.2938289,10.7061711
54.961679,3.327967873,-169.2791645,10.72083551
55.08837876,3.345979165,-169.2645675,10.73543251
55.21537058,3.364104686,-169.2500393,10.7499607
55.34265516,3.38234537,-169.2355813,10.76441865
55.47023315,3.400702161,-169.2211951,10.77880489
55.59810525,3.419176013,-169.2068821,10.79311795
55.72627212,3.437767889,-169.1926437,10.8073563
55.85473444,3.456478766,-169.1784816,10.82151844
55.9834929,3.47530963,-169.1643972,10.83560279
56.11254818,3.494261478,-169.1503922,10.84960777
